CGPA,Attendance,Internships,Projects,DSA_Score,Communication_Score,Certifications,Aptitude_Score,Placement,Package_LPA
8.66,80.8,2,4,76.1,90.7,8,65.1,1,12.62
8.98,67.0,0,5,93.0,47.2,5,94.1,1,10.73
5.68,83.5,0,5,62.8,48.2,7,54.5,0,
8.46,90.0,1,0,81.9,74.6,0,63.2,1,9.42
8.18,76.9,1,2,79.3,81.6,5,57.9,1,9.99
8.2,57.0,1,4,69.9,75.8,3,69.5,1,8.77
6.39,60.4,1,3,72.0,71.2,3,36.8,1,8.76
9.14,56.9,0,0,72.6,81.9,6,58.6,1,9.11
5.55,55.9,0,4,46.1,62.4,5,75.9,0,
6.17,81.5,1,3,78.8,47.4,3,55.0,1,7.66
7.45,95.8,0,5,79.8,81.1,2,59.3,1,10.95
5.95,82.1,2,5,95.9,72.1,7,42.7,1,8.44
9.23,83.9,3,2,74.9,83.1,2,58.2,1,12.96
8.03,90.8,1,2,64.9,67.7,7,77.3,1,9.32
9.69,59.1,1,3,100.0,61.2,0,76.3,1,13.57
8.13,69.5,1,1,85.6,65.4,5,71.5,1,10.01
8.4,99.6,1,4,81.1,75.4,4,77.3,1,12.74
8.26,57.4,1,2,81.7,71.0,6,62.9,1,9.15
9.19,70.0,1,1,58.6,81.0,6,65.6,1,11.98
5.41,80.2,1,2,63.8,42.5,8,70.5,1,6.32
6.48,97.8,0,3,67.2,80.0,2,100.0,1,9.28
5.49,89.7,2,4,74.0,60.3,2,50.3,1,9.09
8.0,95.6,1,0,85.7,54.0,3,75.6,1,9.3
8.61,90.3,0,1,68.3,89.1,7,74.9,1,9.34
7.11,89.6,2,4,60.7,36.2,3,57.1,1,8.56
6.2,83.9,2,4,85.7,53.8,8,64.6,1,9.45
9.35,61.6,1,1,71.9,82.7,0,48.6,1,11.89
6.8,72.4,0,1,90.9,67.7,5,62.9,1,8.07
8.34,61.2,1,3,100.0,51.5,0,50.1,1,13.61
7.63,87.7,1,0,67.9,58.5,1,76.5,1,9.03
5.53,95.7,1,0,38.9,48.4,2,44.5,0,
6.69,80.7,0,5,75.5,88.4,1,77.4,1,9.01
8.77,77.8,0,3,94.8,74.0,5,69.0,1,11.75
8.52,83.3,2,5,76.9,70.3,5,61.7,1,11.41
5.84,90.1,1,5,61.3,60.3,2,76.5,1,7.12
5.21,64.0,0,2,58.1,30.0,8,51.4,0,
8.11,67.9,2,0,70.3,75.0,1,58.4,1,8.73
6.92,74.8,3,2,81.3,61.6,7,47.3,1,9.88
7.04,74.4,3,1,70.2,54.9,1,59.2,1,10.16
7.14,87.3,0,3,69.9,67.2,5,52.9,1,7.44
5.28,85.2,1,4,45.6,62.4,0,37.9,0,
8.75,56.6,0,5,100.0,63.8,0,77.8,1,10.98
9.55,71.7,2,4,99.3,82.2,5,66.8,1,15.27
7.4,72.4,1,2,83.6,68.3,3,45.1,1,9.7
9.4,77.1,0,0,54.3,80.6,7,93.5,1,13.38
8.21,86.9,1,2,69.3,85.5,2,52.1,1,8.95
5.58,64.0,0,3,76.1,60.6,5,25.0,0,
5.62,94.8,0,3,80.5,58.4,8,46.0,1,6.89
6.52,58.3,1,4,67.8,49.5,8,80.5,1,7.98
9.64,74.5,2,0,87.6,63.0,4,78.0,1,11.7
9.52,95.3,2,2,74.9,83.2,4,100.0,1,13.04
7.56,77.6,0,4,87.9,79.5,5,72.7,1,10.49
5.22,83.9,1,5,62.0,60.4,0,70.0,0,
6.39,98.0,1,5,72.9,51.5,0,66.9,1,9.98
7.23,70.3,0,5,63.5,94.6,5,69.2,1,8.62
6.53,76.0,0,1,72.9,64.4,6,63.1,1,6.68
9.62,95.6,2,4,90.9,67.5,2,58.1,1,12.31
5.11,97.5,1,1,51.9,58.7,0,65.4,0,
9.05,85.3,0,0,92.2,78.9,4,59.8,1,8.84
6.76,73.0,1,1,56.9,69.9,6,40.6,1,7.17
8.27,60.3,3,3,100.0,46.5,8,92.3,1,11.33
5.96,77.9,1,0,73.1,64.1,7,51.1,0,
9.29,61.3,2,2,100.0,100.0,4,59.3,1,11.81
7.7,76.4,0,2,72.1,52.6,4,35.0,1,7.1
8.3,56.2,1,5,90.4,50.6,3,64.4,1,12.35
7.97,92.9,0,5,98.6,68.6,1,81.5,1,12.5
7.01,73.6,0,4,78.3,39.6,0,58.1,0,
7.69,99.9,1,3,72.9,73.0,8,58.6,1,10.29
8.09,86.2,1,1,53.6,76.9,4,63.8,1,12.41
6.43,68.0,0,5,59.3,62.6,8,79.3,1,8.13
8.25,72.1,3,2,82.8,88.1,4,60.9,1,12.56
5.38,96.6,1,5,57.7,58.5,8,53.5,1,7.37
8.56,65.8,0,4,90.6,71.5,1,76.9,1,12.37
5.48,89.7,0,4,70.3,57.0,7,48.0,1,8.25
8.1,95.9,0,4,79.3,70.4,0,85.9,1,10.1
9.23,62.9,2,3,88.4,66.1,4,72.1,1,12.01
9.72,67.8,3,4,90.7,52.1,2,69.0,1,12.58
5.93,60.1,0,3,52.1,45.7,0,55.9,0,
7.73,89.1,0,5,100.0,54.5,8,59.2,1,13.69
7.29,97.1,0,3,92.2,66.8,5,83.2,1,11.55
5.05,84.4,1,0,41.7,45.5,2,42.5,0,
9.3,86.7,0,0,59.7,53.2,5,64.9,1,10.06
8.59,82.3,1,4,90.3,86.2,3,57.8,1,10.27
7.86,90.4,1,4,78.6,63.2,1,79.4,1,8.99
5.72,69.8,1,0,52.5,51.5,7,39.6,0,
8.88,75.4,1,3,91.9,58.6,4,63.5,1,10.53
8.92,88.6,1,0,58.9,79.6,8,97.7,1,12.56
5.15,73.4,2,5,75.8,72.3,6,52.3,0,
7.15,96.3,1,0,81.0,58.0,8,46.5,1,10.38
5.57,99.7,1,1,53.8,50.5,0,57.6,0,
7.22,87.4,1,3,76.6,57.5,5,67.2,1,10.87
5.15,84.7,1,0,34.6,56.8,0,59.1,0,
9.19,66.0,0,3,92.2,73.5,0,79.1,1,14.76
6.12,96.2,1,4,53.2,51.0,5,60.5,1,9.1
6.99,67.4,1,4,72.6,81.6,6,43.8,1,9.58
6.65,83.9,1,4,66.3,73.0,2,58.2,1,8.13
6.08,93.6,0,3,62.5,72.5,6,50.4,1,7.28
6.17,64.2,1,3,68.2,56.7,3,69.8,1,7.75
5.35,91.2,1,5,63.4,45.7,5,50.4,0,
6.02,63.6,1,5,95.0,72.6,3,58.0,1,7.87
6.9,65.8,0,2,56.5,72.9,5,57.5,1,8.86
8.85,87.5,2,2,71.9,80.5,6,63.5,1,12.15
8.56,55.7,1,4,74.0,64.8,2,71.1,1,10.33
7.64,97.5,0,3,71.7,82.0,7,61.0,1,10.09
6.69,61.3,1,1,75.8,55.9,0,38.1,0,
5.36,91.8,0,0,30.9,68.5,3,61.7,0,
6.05,75.5,0,5,62.1,47.0,7,57.0,1,6.47
5.08,87.5,1,2,52.1,76.4,6,56.7,0,
5.51,59.3,0,1,29.9,51.9,5,49.8,0,
6.79,73.3,1,5,87.5,65.7,1,79.2,1,8.13
8.65,59.2,1,4,68.7,73.0,2,88.7,1,10.52
9.69,98.8,2,0,72.3,77.8,7,98.4,1,14.42
8.29,67.6,1,5,100.0,74.3,5,75.3,1,13.59
8.94,96.8,0,4,100.0,73.0,6,92.5,1,10.79
6.84,88.3,2,5,73.6,50.6,5,73.5,1,10.45
8.69,98.0,1,2,70.5,79.4,7,70.5,1,10.85
9.52,74.4,1,5,79.6,87.0,4,77.7,1,13.59
8.42,83.5,1,2,81.4,66.6,4,71.7,1,11.38
5.49,58.9,1,4,51.9,54.2,0,68.9,0,
7.87,90.3,2,0,65.0,78.0,1,63.1,1,10.45
7.5,85.8,0,2,71.1,62.0,1,77.3,1,9.68
6.44,90.2,1,1,58.5,49.1,3,53.5,0,
5.03,72.8,2,3,60.8,46.8,5,33.9,0,
8.12,81.7,0,4,89.4,66.1,5,71.8,1,9.97
8.04,98.5,2,2,93.0,53.7,6,81.7,1,13.04
5.96,99.9,0,4,85.8,62.8,3,48.6,1,7.57
8.82,73.4,1,5,69.0,68.5,2,77.9,1,9.54
5.36,99.6,1,3,32.9,52.1,6,35.0,0,
6.73,95.3,1,5,80.1,60.2,3,54.8,1,9.46
9.72,85.5,1,2,84.2,86.3,0,70.2,1,12.94
8.58,80.1,1,1,64.8,74.0,8,92.7,1,9.09
9.42,58.9,2,5,95.0,79.7,7,79.7,1,12.34
6.67,59.4,1,3,64.4,71.1,1,71.6,1,10.29
9.46,88.3,1,4,100.0,81.4,7,84.8,1,14.47
5.89,83.8,1,0,52.3,36.8,7,47.6,0,
8.38,64.3,2,0,52.6,60.3,8,71.6,1,8.49
9.14,78.7,1,4,91.4,64.2,1,78.3,1,14.25
7.96,91.6,1,2,88.7,60.7,2,62.4,1,11.23
5.68,72.5,1,4,72.5,53.5,8,61.9,1,6.28
9.8,80.0,1,1,93.5,94.7,0,92.8,1,11.9
6.84,80.3,1,3,70.6,58.8,7,50.0,1,8.87
5.15,89.2,0,2,56.6,65.6,7,35.7,0,
7.38,78.0,1,2,74.2,45.3,5,44.0,1,9.11
6.05,74.1,1,5,57.4,60.3,0,48.1,0,
8.92,74.8,3,1,81.9,76.2,5,88.7,1,10.71
7.06,82.7,2,1,70.7,50.8,8,59.3,1,7.96
6.39,67.0,2,5,89.5,63.9,6,53.6,1,8.32
9.16,60.7,2,1,86.5,80.4,3,71.9,1,10.43
6.29,73.6,1,5,73.1,66.4,6,39.4,1,8.96
9.49,71.6,3,2,64.4,63.0,1,70.4,1,11.48
5.3,79.0,0,3,49.4,63.0,5,42.7,0,
7.77,80.5,1,2,63.8,81.8,0,52.5,1,10.85
7.21,60.6,2,3,36.6,74.0,6,68.2,1,9.89
5.76,97.0,0,5,81.1,56.1,2,60.9,1,8.72
8.48,89.0,1,0,72.2,69.4,7,82.1,1,8.58
5.04,70.5,0,3,55.7,51.8,3,41.3,0,
5.49,69.1,2,1,67.5,43.0,2,70.7,0,
5.33,80.3,1,1,39.3,40.9,2,62.4,0,
7.12,64.8,2,1,57.8,64.7,6,46.5,1,9.64
8.8,66.2,1,1,62.3,66.3,4,72.5,1,11.13
6.45,78.3,1,5,58.8,49.5,3,70.7,1,8.49
7.4,81.7,1,0,92.7,63.5,2,46.2,1,8.04
5.83,76.2,3,0,61.0,63.4,4,57.8,1,10.16
9.55,72.9,0,5,82.4,74.1,6,85.1,1,11.75
6.49,78.0,0,1,55.0,51.3,1,57.3,0,
9.58,65.7,0,3,100.0,85.6,0,83.3,1,14.53
8.56,60.4,1,5,100.0,71.2,5,47.5,1,12.32
5.61,90.2,0,0,45.1,58.8,6,53.5,0,
8.42,80.9,0,3,85.3,66.0,2,67.4,1,11.35
5.49,80.8,1,1,54.4,57.2,0,56.4,0,
6.84,61.8,2,0,35.8,55.4,6,62.8,1,8.03
8.96,80.7,0,5,85.4,77.5,8,65.5,1,11.66
5.33,75.9,0,2,49.2,69.7,0,48.5,0,
8.77,88.3,0,2,68.7,64.1,3,67.4,1,10.32
9.48,56.1,1,5,87.8,85.9,5,51.1,1,13.23
9.08,87.7,0,4,100.0,71.1,0,76.9,1,12.18
6.11,93.0,1,2,65.3,42.8,1,63.6,0,
6.89,81.6,0,5,75.6,71.4,4,59.6,1,7.2
6.89,92.4,0,3,69.6,67.9,3,75.1,1,8.98
7.16,69.1,0,2,72.7,72.0,4,60.8,0,
5.43,91.3,0,5,71.4,56.7,5,52.5,1,9.02
9.65,72.8,0,2,84.2,100.0,0,95.1,1,10.71
5.45,59.6,2,0,45.9,78.5,3,57.5,0,
6.79,83.4,1,4,88.9,42.1,1,47.4,1,9.53
9.33,75.0,0,2,100.0,91.6,0,79.0,1,12.74
5.14,85.7,0,1,41.1,64.0,7,49.3,0,
7.97,66.1,0,3,75.7,77.2,1,56.7,1,10.67
5.96,94.8,1,5,84.7,59.3,0,78.7,1,8.06
7.33,96.1,1,3,85.0,65.0,3,66.1,1,10.35
6.35,91.4,1,2,68.5,30.0,2,73.6,1,7.29
9.4,57.5,3,1,100.0,45.8,6,56.0,1,14.47
9.06,62.9,1,5,82.8,49.2,0,67.0,1,11.44
9.55,92.7,2,3,86.1,67.6,0,70.2,1,13.27
6.05,78.7,0,4,69.3,65.7,2,78.4,0,
6.55,56.0,1,1,65.4,41.2,5,71.5,0,
9.52,72.8,0,2,71.2,100.0,6,80.0,1,11.1
9.65,86.2,2,2,80.6,77.1,2,88.4,1,13.91
6.41,63.0,0,5,84.2,58.2,0,64.0,1,9.6
8.07,59.7,1,2,60.1,68.0,5,57.4,1,11.77
5.43,86.9,1,2,48.1,60.6,3,51.8,0,
8.78,87.4,0,3,80.0,42.3,6,57.4,1,9.97
7.3,93.9,1,5,77.5,67.0,0,76.2,1,11.29
9.57,58.3,0,3,91.5,78.0,1,54.0,1,13.74
7.07,84.4,1,3,59.8,67.1,3,66.9,1,8.63
7.66,96.7,1,5,79.9,74.6,0,52.8,1,10.46
5.02,58.9,2,5,63.4,50.1,0,49.4,0,
9.69,76.3,0,3,100.0,51.8,4,77.4,1,13.12
5.89,94.8,1,3,75.6,62.8,4,59.0,1,9.93
8.2,58.9,0,4,90.0,52.9,3,77.2,1,9.94
8.93,73.8,1,3,76.6,68.2,4,92.5,1,11.07
9.32,91.0,1,4,76.4,89.4,7,94.7,1,15.46
9.67,91.4,0,3,100.0,82.6,3,89.5,1,13.21
9.37,96.1,0,3,79.6,60.4,4,66.2,1,11.05
5.06,86.5,1,3,62.6,60.3,1,68.0,0,
5.48,67.9,1,2,64.1,51.9,7,43.7,0,
5.83,73.1,1,5,67.6,56.4,5,55.9,1,7.3
6.79,70.2,2,2,68.0,60.7,1,74.9,1,8.72
6.44,88.5,2,2,62.6,73.1,1,62.9,1,9.38
8.65,94.0,2,4,67.9,71.6,8,64.3,1,12.78
7.52,80.6,0,1,73.4,59.0,7,74.9,1,8.96
7.23,72.9,2,5,89.5,75.3,7,65.1,1,13.38
7.82,70.7,0,2,73.6,50.5,4,69.1,1,10.36
6.03,65.0,0,1,41.6,58.8,0,70.3,0,
8.27,76.3,0,1,50.3,67.9,4,66.2,0,
8.42,86.9,0,3,62.9,76.9,3,57.0,1,10.42
8.96,72.9,0,4,100.0,71.7,5,54.9,1,11.76
7.31,70.1,0,2,88.0,70.8,4,56.1,1,10.71
6.15,57.6,2,4,59.4,66.1,2,55.5,0,
9.79,66.7,1,3,89.2,60.7,3,62.7,1,11.95
7.28,97.3,1,2,54.2,77.0,8,44.1,1,9.19
5.61,66.6,2,1,79.6,50.7,1,57.9,0,
9.18,73.9,2,2,82.6,81.9,1,47.1,1,9.71
5.34,95.0,1,5,50.9,50.5,0,62.2,1,6.55
9.76,70.4,3,3,100.0,92.2,2,75.5,1,13.82
8.05,55.2,0,1,66.9,62.5,1,62.9,1,9.91
7.06,74.3,1,0,70.2,66.0,5,86.3,1,8.32
5.09,55.2,1,1,36.9,52.8,2,44.0,0,
6.47,57.9,0,2,72.8,49.1,8,63.9,0,
9.78,70.4,2,2,100.0,75.1,6,65.9,1,13.45
9.73,64.5,0,4,98.7,84.1,0,60.8,1,13.31
7.85,57.2,0,0,51.3,72.6,7,67.2,0,
7.28,61.9,1,5,89.3,76.6,1,63.9,1,10.01
7.91,61.2,2,0,51.8,66.5,4,69.9,1,9.22
6.26,78.5,0,5,79.4,55.6,8,62.9,1,8.65
9.48,69.9,0,5,99.3,76.7,7,75.0,1,11.11
5.49,66.5,0,2,56.0,57.6,2,59.8,0,
6.73,85.5,1,0,43.4,78.3,0,72.3,1,7.2
8.11,69.8,2,4,79.5,86.2,5,69.5,1,9.15
6.3,72.4,2,3,84.0,49.5,1,42.0,1,10.48
9.71,93.0,0,4,77.5,76.4,7,77.7,1,12.02
8.29,92.7,3,1,76.3,56.5,6,68.6,1,10.98
8.14,55.6,2,4,83.7,54.2,3,84.3,1,10.57
8.36,59.3,1,1,86.9,53.3,6,69.4,1,12.12
9.28,82.6,0,1,67.5,72.7,7,74.3,1,9.56
9.66,57.3,0,5,96.1,60.0,1,87.9,1,13.4
7.15,93.5,1,0,82.7,62.4,0,72.5,1,8.72
5.44,82.2,1,2,57.0,68.7,7,45.9,1,6.39
5.26,65.0,1,4,63.6,42.2,5,53.8,0,
8.64,65.0,0,5,98.2,68.5,8,64.6,1,13.1
8.94,88.4,1,2,73.1,66.3,6,64.8,1,13.13
5.91,70.2,2,0,74.9,50.3,1,59.5,0,
8.16,98.0,0,3,98.7,69.1,8,87.7,1,9.49
9.42,63.0,1,5,95.5,75.7,5,66.5,1,13.24
9.7,96.2,2,2,78.1,80.8,4,66.7,1,10.99
8.59,68.5,1,2,88.8,64.2,3,41.1,1,12.69
6.39,70.5,1,5,55.0,39.1,8,43.1,1,7.62
7.7,81.2,2,5,62.2,50.9,8,74.7,1,12.64
8.88,78.5,0,1,82.0,72.7,4,69.5,1,10.33
9.03,86.1,0,4,97.1,91.9,1,74.6,1,11.21
7.7,65.1,1,3,77.5,86.0,4,63.5,1,9.47
8.78,85.8,3,0,82.9,79.5,7,69.9,1,9.3
8.38,84.1,2,4,83.1,62.3,3,65.5,1,11.37
5.83,78.1,1,3,55.8,57.8,2,66.6,0,
6.59,86.9,0,1,57.5,75.7,4,53.3,0,
6.72,90.3,0,1,64.0,75.7,8,57.0,1,8.95
6.94,70.7,2,5,71.0,72.8,3,77.6,1,8.69
8.61,84.2,0,2,81.7,48.0,3,77.1,1,9.71
6.54,96.2,2,3,67.0,79.8,0,79.1,1,7.63
7.14,57.0,2,1,81.3,62.6,1,67.1,1,12.04
7.58,55.3,0,5,75.4,60.8,6,68.5,1,11.13
8.56,74.6,2,0,51.2,70.1,7,61.3,1,9.36
5.35,63.0,0,0,42.8,53.8,4,44.4,0,
6.94,69.2,1,0,44.8,60.3,1,62.4,0,
8.36,58.3,2,0,67.0,85.7,1,62.0,1,8.62
5.15,62.0,0,5,79.2,41.4,8,68.2,0,
6.43,94.9,3,5,89.4,45.2,0,35.6,1,9.85
5.59,55.2,1,4,59.3,57.0,3,56.1,0,
6.65,73.6,1,4,76.3,68.1,4,63.2,1,9.99
9.09,97.0,3,3,63.3,69.7,1,66.7,1,12.8
7.79,97.8,1,5,79.4,63.0,1,73.7,1,9.22
6.47,81.3,1,2,69.4,71.7,2,31.6,1,8.33
6.06,88.3,1,2,74.4,73.6,7,47.2,1,7.55
5.84,82.3,2,1,71.2,65.0,1,52.4,0,
9.08,83.4,2,4,63.5,60.2,0,79.3,1,11.23
9.79,76.2,2,2,67.8,89.7,4,82.6,1,13.41
5.05,65.7,3,4,66.5,48.8,2,35.7,0,
9.55,84.7,3,5,97.3,71.3,0,44.0,1,15.66
5.3,71.6,0,1,32.0,55.0,6,42.2,0,
5.22,99.1,0,5,81.2,53.8,4,59.6,0,
7.61,62.8,1,2,50.4,54.1,1,52.8,1,9.77
6.69,94.0,1,3,60.9,63.7,2,59.9,1,8.73
7.47,67.6,0,1,55.9,79.2,1,57.3,0,
6.59,60.1,1,3,69.9,68.7,6,63.9,1,8.06
8.02,56.8,1,0,66.0,80.6,8,89.6,1,8.92
7.71,55.8,1,5,94.6,42.8,3,29.1,1,11.44
8.99,82.0,2,1,73.5,62.6,2,59.9,1,10.02
7.18,81.6,0,3,73.7,66.2,8,71.8,1,8.36
5.46,76.4,1,0,54.5,67.6,1,45.6,0,
9.33,79.3,0,5,100.0,65.4,5,59.6,1,11.41
7.06,97.2,1,3,58.6,80.3,1,54.0,1,9.23
5.4,81.9,1,2,30.6,64.1,0,73.1,0,
5.03,84.5,1,2,51.4,51.7,6,57.2,0,
9.1,74.1,1,2,75.2,83.5,3,69.8,1,12.53
7.32,71.7,1,2,86.0,64.2,6,61.2,1,8.58
7.14,86.5,0,1,49.2,45.3,8,61.5,0,
5.25,72.5,1,0,37.8,62.5,6,42.9,0,
6.78,82.4,1,3,74.4,53.1,0,51.6,1,8.08
8.07,74.8,0,5,97.6,62.7,3,82.2,1,10.41
5.81,56.6,0,0,52.8,63.9,4,56.5,0,
6.9,81.4,1,5,65.3,56.5,8,35.8,1,11.48
9.39,70.7,3,2,89.3,100.0,7,85.8,1,13.3
5.51,58.3,0,0,63.8,67.0,8,27.6,0,
8.33,98.5,1,1,59.8,70.6,7,36.8,1,7.27
9.14,76.7,0,3,60.3,46.3,3,74.4,1,9.36
